"","Subfamily","Genus"
"Hylomyrma","Myrmicinae","Hylomyrma"
"Hypoponera","Ponerinae","Hypoponera"
"Iberoformica","Formicinae","Iberoformica"
"Indomyrma","Myrmicinae","Indomyrma"
"Iridomyrmex","Dolichoderinae","Iridomyrmex"
"Iroponera","Ponerinae","Iroponera"
"Ishakidris","Myrmicinae","Ishakidris"
"Kalathomyrmex","Myrmicinae","Kalathomyrmex"
"Kartidris","Myrmicinae","Kartidris"
"Kempfidris","Myrmicinae","Kempfidris"
"Labidus","Dorylinae","Labidus"
"Lachnomyrmex","Myrmicinae","Lachnomyrmex"
"Lasiomyrma","Myrmicinae","Lasiomyrma"
"Lasiophanes","Formicinae","Lasiophanes"
"Lasius","Formicinae","Lasius"
"Lenomyrmex","Myrmicinae","Lenomyrmex"
"Lepisiota","Formicinae","Lepisiota"
"Leptanilla","Leptanillinae","Leptanilla"
"Leptanilloides","Dorylinae","Leptanilloides"
"Leptogenys","Ponerinae","Leptogenys"
"Leptomyrmex","Dolichoderinae","Leptomyrmex"
"Leptothorax","Myrmicinae","Leptothorax"
"Linepithema","Dolichoderinae","Linepithema"
"Liometopum","Dolichoderinae","Liometopum"
"Liomyrmex","Myrmicinae","Liomyrmex"
"Lioponera","Dorylinae","Lioponera"
"Lividopone","Dorylinae","Lividopone"
"Loboponera","Ponerinae","Loboponera"
"Lophomyrmex","Myrmicinae","Lophomyrmex"
"Lordomyrma","Myrmicinae","Lordomyrma"
"Loweriella","Dolichoderinae","Loweriella"
"Malagidris","Myrmicinae","Malagidris"
"Manica","Myrmicinae","Manica"
"Martialis","Martialinae","Martialis"
"Mayaponera","Ponerinae","Mayaponera"
"Mayriella","Myrmicinae","Mayriella"
"Megalomyrmex","Myrmicinae","Megalomyrmex"
"Megaponera","Ponerinae","Megaponera"
"Melissotarsus","Myrmicinae","Melissotarsus"
"Melophorus","Formicinae","Melophorus"
"Meranoplus","Myrmicinae","Meranoplus"
"Mesoponera","Ponerinae","Mesoponera"
"Mesostruma","Myrmicinae","Mesostruma"
"Messor","Myrmicinae","Messor"
"Metapone","Myrmicinae","Metapone"
"Microdaceton","Myrmicinae","Microdaceton"
"Monomorium","Myrmicinae","Monomorium"
"Mycetagroicus","Myrmicinae","Mycetagroicus"
"Mycetarotes","Myrmicinae","Mycetarotes"
"Mycetophylax","Myrmicinae","Mycetophylax"
"Mycetosoritis","Myrmicinae","Mycetosoritis"
"Mycocepurus","Myrmicinae","Mycocepurus"
"Myopias","Ponerinae","Myopias"
"Myopopone","Amblyoponinae","Myopopone"
"Myrcidris","Pseudomyrmecinae","Myrcidris"
"Myrmecia","Myrmeciinae","Myrmecia"
"Myrmecina","Myrmicinae","Myrmecina"
"Myrmecocystus","Formicinae","Myrmecocystus"
"Myrmecorhynchus","Formicinae","Myrmecorhynchus"
"Myrmelachista","Formicinae","Myrmelachista"
"Myrmica","Myrmicinae","Myrmica"
"Myrmicaria","Myrmicinae","Myrmicaria"
"Myrmicocrypta","Myrmicinae","Myrmicocrypta"
"Myrmoteras","Formicinae","Myrmoteras"
"Mystrium","Amblyoponinae","Mystrium"
"Nebothriomyrmex","Dolichoderinae","Nebothriomyrmex"
"Neivamyrmex","Dorylinae","Neivamyrmex"
"Neocerapachys","Dorylinae","Neocerapachys"
"Neoponera","Ponerinae","Neoponera"
"Nesomyrmex","Myrmicinae","Nesomyrmex"
"Nomamyrmex","Dorylinae","Nomamyrmex"
"Noonilla","Leptanillinae","Noonilla"
"Nothomyrmecia","Myrmeciinae","Nothomyrmecia"
"Notoncus","Formicinae","Notoncus"
"Notostigma","Formicinae","Notostigma"
"Novomessor","Myrmicinae","Novomessor"
"Nylanderia","Formicinae","Nylanderia"
"Ochetellus","Dolichoderinae","Ochetellus"
"Ochetomyrmex","Myrmicinae","Ochetomyrmex"
"Octostruma","Myrmicinae","Octostruma"
"Ocymyrmex","Myrmicinae","Ocymyrmex"
"Odontomachus","Ponerinae","Odontomachus"
"Odontoponera","Ponerinae","Odontoponera"
"Oecophylla","Formicinae","Oecophylla"
"Onychomyrmex","Amblyoponinae","Onychomyrmex"
"Ooceraea","Dorylinae","Ooceraea"
"Opamyrma","Leptanillinae","Opamyrma"
"Ophthalmopone","Ponerinae","Ophthalmopone"
"Opisthopsis","Formicinae","Opisthopsis"
"Orectognathus","Myrmicinae","Orectognathus"
"Overbeckia","Formicinae","Overbeckia"
"Oxyepoecus","Myrmicinae","Oxyepoecus"
"Oxyopomyrmex","Myrmicinae","Oxyopomyrmex"
"Pachycondyla","Ponerinae","Pachycondyla"
"Paltothyreus","Ponerinae","Paltothyreus"
"Papyrius","Dolichoderinae","Papyrius"
"Paramycetophylax","Myrmicinae","Paramycetophylax"
"Paraparatrechina","Formicinae","Paraparatrechina"
"Paraponera","Paraponerinae","Paraponera"
"Parasyscia","Dorylinae","Parasyscia"
"Paratopula","Myrmicinae","Paratopula"
"Paratrechina","Formicinae","Paratrechina"
"Parvaponera","Ponerinae","Parvaponera"
"Patagonomyrmex","Myrmicinae","Patagonomyrmex"
"Perissomyrmex","Myrmicinae","Perissomyrmex"
